rule_number,rule_binary,num_nodes,num_edges,density,is_strongly_connected,max_in_degree,max_out_degree,avg_in_degree,avg_out_degree
213,11010101,2,8,4.0,True,5,4,4.0,4.0
214,11010110,2,8,4.0,True,5,4,4.0,4.0
215,11010111,2,8,4.0,True,6,4,4.0,4.0
216,11011000,2,8,4.0,True,4,4,4.0,4.0
217,11011001,2,8,4.0,True,5,4,4.0,4.0
218,11011010,2,8,4.0,True,5,4,4.0,4.0
219,11011011,2,8,4.0,True,6,4,4.0,4.0
220,11011100,2,8,4.0,False,5,4,4.0,4.0
221,11011101,2,8,4.0,False,6,4,4.0,4.0
222,11011110,2,8,4.0,False,6,4,4.0,4.0
223,11011111,2,8,4.0,False,7,4,4.0,4.0
224,11100000,2,8,4.0,True,5,4,4.0,4.0
225,11100001,2,8,4.0,True,4,4,4.0,4.0
226,11100010,2,8,4.0,True,4,4,4.0,4.0
227,11100011,2,8,4.0,True,5,4,4.0,4.0
228,11100100,2,8,4.0,True,4,4,4.0,4.0
229,11100101,2,8,4.0,True,5,4,4.0,4.0
230,11100110,2,8,4.0,True,5,4,4.0,4.0
231,11100111,2,8,4.0,True,6,4,4.0,4.0
232,11101000,2,8,4.0,True,4,4,4.0,4.0
233,11101001,2,8,4.0,True,5,4,4.0,4.0
234,11101010,2,8,4.0,True,5,4,4.0,4.0
235,11101011,2,8,4.0,True,6,4,4.0,4.0
236,11101100,2,8,4.0,False,5,4,4.0,4.0
237,11101101,2,8,4.0,False,6,4,4.0,4.0
238,11101110,2,8,4.0,False,6,4,4.0,4.0
239,11101111,2,8,4.0,False,7,4,4.0,4.0
240,11110000,2,8,4.0,True,4,4,4.0,4.0
241,11110001,2,8,4.0,True,5,4,4.0,4.0
242,11110010,2,8,4.0,True,5,4,4.0,4.0
243,11110011,2,8,4.0,True,6,4,4.0,4.0
244,11110100,2,8,4.0,True,5,4,4.0,4.0
245,11110101,2,8,4.0,True,6,4,4.0,4.0
246,11110110,2,8,4.0,True,6,4,4.0,4.0
247,11110111,2,8,4.0,True,7,4,4.0,4.0
248,11111000,2,8,4.0,True,5,4,4.0,4.0
249,11111001,2,8,4.0,True,6,4,4.0,4.0
250,11111010,2,8,4.0,True,6,4,4.0,4.0
251,11111011,2,8,4.0,True,7,4,4.0,4.0
252,11111100,2,8,4.0,False,6,4,4.0,4.0
253,11111101,2,8,4.0,False,7,4,4.0,4.0
254,11111110,2,8,4.0,False,7,4,4.0,4.0
255,11111111,2,8,4.0,False,8,4,4.0,4.0
